file                                                                                format  type   num_seqs      sum_len  min_len  avg_len  max_len    Q1   Q2    Q3  sum_gap  N50  Q20(%)  Q30(%)
../../seqdata_raw/1_1st_2nd_indexing/Undetermined_S0_L001_R1_001.fastq.gz           FASTQ   DNA   3,869,376  592,014,528      153      153      153  76.5  153  76.5        0  153    95.7   90.59
../../seqdata_raw/1_1st_2nd_indexing/Undetermined_S0_L001_R2_001.fastq.gz           FASTQ   DNA   3,869,376  592,014,528      153      153      153  76.5  153  76.5        0  153   94.79   89.02
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S001_S1_L001_R1_001.fastq.gz   FASTQ   DNA      74,989   11,473,317      153      153      153  76.5  153  76.5        0  153   98.76   96.41
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S001_S1_L001_R2_001.fastq.gz   FASTQ   DNA      74,989   11,473,317      153      153      153  76.5  153  76.5        0  153   98.56   95.82
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S002_S2_L001_R1_001.fastq.gz   FASTQ   DNA      21,875    3,346,875      153      153      153  76.5  153  76.5        0  153   99.02   96.95
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S002_S2_L001_R2_001.fastq.gz   FASTQ   DNA      21,875    3,346,875      153      153      153  76.5  153  76.5        0  153   98.73   96.21
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S003_S3_L001_R1_001.fastq.gz   FASTQ   DNA      78,619   12,028,707      153      153      153  76.5  153  76.5        0  153   98.72    96.4
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S003_S3_L001_R2_001.fastq.gz   FASTQ   DNA      78,619   12,028,707      153      153      153  76.5  153  76.5        0  153   98.54   95.82
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S004_S4_L001_R1_001.fastq.gz   FASTQ   DNA      85,603   13,097,259      153      153      153  76.5  153  76.5        0  153   98.85   96.64
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S004_S4_L001_R2_001.fastq.gz   FASTQ   DNA      85,603   13,097,259      153      153      153  76.5  153  76.5        0  153   98.67   96.05
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S005_S5_L001_R1_001.fastq.gz   FASTQ   DNA      33,962    5,196,186      153      153      153  76.5  153  76.5        0  153   98.78   96.55
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S005_S5_L001_R2_001.fastq.gz   FASTQ   DNA      33,962    5,196,186      153      153      153  76.5  153  76.5        0  153    98.5   95.76
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S006_S6_L001_R1_001.fastq.gz   FASTQ   DNA         797      121,941      153      153      153  76.5  153  76.5        0  153   98.96   96.52
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S006_S6_L001_R2_001.fastq.gz   FASTQ   DNA         797      121,941      153      153      153  76.5  153  76.5        0  153    98.8   96.07
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S007_S7_L001_R1_001.fastq.gz   FASTQ   DNA      14,669    2,244,357      153      153      153  76.5  153  76.5        0  153   98.84   96.67
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S007_S7_L001_R2_001.fastq.gz   FASTQ   DNA      14,669    2,244,357      153      153      153  76.5  153  76.5        0  153   98.53   95.96
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S008_S8_L001_R1_001.fastq.gz   FASTQ   DNA      48,325    7,393,725      153      153      153  76.5  153  76.5        0  153   98.87    96.7
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S008_S8_L001_R2_001.fastq.gz   FASTQ   DNA      48,325    7,393,725      153      153      153  76.5  153  76.5        0  153   98.61   96.04
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S009_S9_L001_R1_001.fastq.gz   FASTQ   DNA      14,470    2,213,910      153      153      153  76.5  153  76.5        0  153   99.17   97.43
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S009_S9_L001_R2_001.fastq.gz   FASTQ   DNA      14,470    2,213,910      153      153      153  76.5  153  76.5        0  153   99.04   96.91
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S010_S10_L001_R1_001.fastq.gz  FASTQ   DNA      31,162    4,767,786      153      153      153  76.5  153  76.5        0  153   99.12   97.29
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S010_S10_L001_R2_001.fastq.gz  FASTQ   DNA      31,162    4,767,786      153      153      153  76.5  153  76.5        0  153   98.82   96.54
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S011_S11_L001_R1_001.fastq.gz  FASTQ   DNA      15,618    2,389,554      153      153      153  76.5  153  76.5        0  153   99.07   97.14
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S011_S11_L001_R2_001.fastq.gz  FASTQ   DNA      15,618    2,389,554      153      153      153  76.5  153  76.5        0  153   98.72   96.22
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S012_S12_L001_R1_001.fastq.gz  FASTQ   DNA       3,168      484,704      153      153      153  76.5  153  76.5        0  153   99.22   97.56
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S012_S12_L001_R2_001.fastq.gz  FASTQ   DNA       3,168      484,704      153      153      153  76.5  153  76.5        0  153   98.99   96.85
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S013_S13_L001_R1_001.fastq.gz  FASTQ   DNA      16,435    2,514,555      153      153      153  76.5  153  76.5        0  153   98.81   96.66
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S013_S13_L001_R2_001.fastq.gz  FASTQ   DNA      16,435    2,514,555      153      153      153  76.5  153  76.5        0  153    98.5   95.89
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S014_S14_L001_R1_001.fastq.gz  FASTQ   DNA      15,636    2,392,308      153      153      153  76.5  153  76.5        0  153   99.18   97.42
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S014_S14_L001_R2_001.fastq.gz  FASTQ   DNA      15,636    2,392,308      153      153      153  76.5  153  76.5        0  153   98.97   96.78
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S015_S15_L001_R1_001.fastq.gz  FASTQ   DNA      29,907    4,575,771      153      153      153  76.5  153  76.5        0  153   99.09   97.26
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S015_S15_L001_R2_001.fastq.gz  FASTQ   DNA      29,907    4,575,771      153      153      153  76.5  153  76.5        0  153   98.78   96.52
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S016_S16_L001_R1_001.fastq.gz  FASTQ   DNA      55,500    8,491,500      153      153      153  76.5  153  76.5        0  153      99   97.05
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S016_S16_L001_R2_001.fastq.gz  FASTQ   DNA      55,500    8,491,500      153      153      153  76.5  153  76.5        0  153    98.7   96.34
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S017_S17_L001_R1_001.fastq.gz  FASTQ   DNA      19,279    2,949,687      153      153      153  76.5  153  76.5        0  153   99.59    98.6
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S017_S17_L001_R2_001.fastq.gz  FASTQ   DNA      19,279    2,949,687      153      153      153  76.5  153  76.5        0  153   99.28   97.69
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S018_S18_L001_R1_001.fastq.gz  FASTQ   DNA       5,412      828,036      153      153      153  76.5  153  76.5        0  153   99.16   97.46
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S018_S18_L001_R2_001.fastq.gz  FASTQ   DNA       5,412      828,036      153      153      153  76.5  153  76.5        0  153   98.78   96.56
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S019_S19_L001_R1_001.fastq.gz  FASTQ   DNA      39,727    6,078,231      153      153      153  76.5  153  76.5        0  153   98.94   96.74
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S019_S19_L001_R2_001.fastq.gz  FASTQ   DNA      39,727    6,078,231      153      153      153  76.5  153  76.5        0  153   98.78   96.18
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S020_S20_L001_R1_001.fastq.gz  FASTQ   DNA      56,797    8,689,941      153      153      153  76.5  153  76.5        0  153   99.03   96.98
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S020_S20_L001_R2_001.fastq.gz  FASTQ   DNA      56,797    8,689,941      153      153      153  76.5  153  76.5        0  153   98.86   96.41
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S021_S21_L001_R1_001.fastq.gz  FASTQ   DNA      21,421    3,277,413      153      153      153  76.5  153  76.5        0  153   98.68   96.26
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S021_S21_L001_R2_001.fastq.gz  FASTQ   DNA      21,421    3,277,413      153      153      153  76.5  153  76.5        0  153   98.39   95.46
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S022_S22_L001_R1_001.fastq.gz  FASTQ   DNA      51,174    7,829,622      153      153      153  76.5  153  76.5        0  153   99.03   96.87
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S022_S22_L001_R2_001.fastq.gz  FASTQ   DNA      51,174    7,829,622      153      153      153  76.5  153  76.5        0  153   98.73   96.06
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S023_S23_L001_R1_001.fastq.gz  FASTQ   DNA      69,695   10,663,335      153      153      153  76.5  153  76.5        0  153   98.84   96.61
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S023_S23_L001_R2_001.fastq.gz  FASTQ   DNA      69,695   10,663,335      153      153      153  76.5  153  76.5        0  153   98.64   95.97
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S024_S24_L001_R1_001.fastq.gz  FASTQ   DNA       5,169      790,857      153      153      153  76.5  153  76.5        0  153   99.11   97.28
../../seqdata_raw/1_1st_2nd_indexing/eDNA-Treatment3-S024_S24_L001_R2_001.fastq.gz  FASTQ   DNA       5,169      790,857      153      153      153  76.5  153  76.5        0  153   98.88   96.62
