file                                 format  type  num_seqs  sum_len  min_len  avg_len  max_len  Q1  Q2  Q3  sum_gap  N50  Q20(%)  Q30(%)
02_Out/E01_T001_S001_R1_ID.fastq.gz  FASTQ   DNA     46,044  368,352        8        8        8   4   8   4        0    8   97.14    92.3
02_Out/E01_T001_S001_R2_ID.fastq.gz  FASTQ   DNA     44,600  356,800        8        8        8   4   8   4        0    8   97.77   94.04
02_Out/E01_T001_S002_R1_ID.fastq.gz  FASTQ   DNA     65,238  521,904        8        8        8   4   8   4        0    8   95.78   91.32
02_Out/E01_T001_S002_R2_ID.fastq.gz  FASTQ   DNA     68,966  551,728        8        8        8   4   8   4        0    8   97.78   93.86
02_Out/E01_T001_S003_R1_ID.fastq.gz  FASTQ   DNA     78,987  631,896        8        8        8   4   8   4        0    8      97   90.29
02_Out/E01_T001_S003_R2_ID.fastq.gz  FASTQ   DNA     79,778  638,224        8        8        8   4   8   4        0    8   98.03   93.83
02_Out/E01_T001_S004_R1_ID.fastq.gz  FASTQ   DNA    105,908  847,264        8        8        8   4   8   4        0    8   97.75   94.44
02_Out/E01_T001_S004_R2_ID.fastq.gz  FASTQ   DNA    104,675  837,400        8        8        8   4   8   4        0    8   98.14   94.84
02_Out/E01_T001_S005_R1_ID.fastq.gz  FASTQ   DNA     80,049  640,392        8        8        8   4   8   4        0    8   97.15   92.99
02_Out/E01_T001_S005_R2_ID.fastq.gz  FASTQ   DNA     80,242  641,936        8        8        8   4   8   4        0    8    97.5   93.63
02_Out/E01_T001_S006_R1_ID.fastq.gz  FASTQ   DNA         45      360        8        8        8   4   8   4        0    8   98.61   95.83
02_Out/E01_T001_S006_R2_ID.fastq.gz  FASTQ   DNA         11       88        8        8        8   4   8   4        0    8    87.5   82.95
02_Out/E01_T001_S007_R1_ID.fastq.gz  FASTQ   DNA     28,599  228,792        8        8        8   4   8   4        0    8   95.59   88.74
02_Out/E01_T001_S007_R2_ID.fastq.gz  FASTQ   DNA     30,105  240,840        8        8        8   4   8   4        0    8   98.39   95.39
02_Out/E01_T001_S008_R1_ID.fastq.gz  FASTQ   DNA     14,743  117,944        8        8        8   4   8   4        0    8    95.8   88.17
02_Out/E01_T001_S008_R2_ID.fastq.gz  FASTQ   DNA     14,976  119,808        8        8        8   4   8   4        0    8   97.32   92.78
02_Out/E01_T001_S009_R1_ID.fastq.gz  FASTQ   DNA     14,722  117,776        8        8        8   4   8   4        0    8   97.42   93.32
02_Out/E01_T001_S009_R2_ID.fastq.gz  FASTQ   DNA     15,547  124,376        8        8        8   4   8   4        0    8   97.76   94.05
02_Out/E01_T001_S010_R1_ID.fastq.gz  FASTQ   DNA     10,878   87,024        8        8        8   4   8   4        0    8   97.35   92.72
02_Out/E01_T001_S010_R2_ID.fastq.gz  FASTQ   DNA     10,758   86,064        8        8        8   4   8   4        0    8   97.74      94
02_Out/E01_T001_S011_R1_ID.fastq.gz  FASTQ   DNA     44,458  355,664        8        8        8   4   8   4        0    8   97.81   93.75
02_Out/E01_T001_S011_R2_ID.fastq.gz  FASTQ   DNA     44,447  355,576        8        8        8   4   8   4        0    8   97.83   94.43
02_Out/E01_T001_S012_R1_ID.fastq.gz  FASTQ   DNA      3,323   26,584        8        8        8   4   8   4        0    8   96.68   89.82
02_Out/E01_T001_S012_R2_ID.fastq.gz  FASTQ   DNA      3,297   26,376        8        8        8   4   8   4        0    8    96.8   91.11
02_Out/E01_T001_S013_R1_ID.fastq.gz  FASTQ   DNA     47,791  382,328        8        8        8   4   8   4        0    8   95.76   90.73
02_Out/E01_T001_S013_R2_ID.fastq.gz  FASTQ   DNA     49,830  398,640        8        8        8   4   8   4        0    8   97.62   93.29
02_Out/E01_T001_S014_R1_ID.fastq.gz  FASTQ   DNA     40,938  327,504        8        8        8   4   8   4        0    8   96.28   90.98
02_Out/E01_T001_S014_R2_ID.fastq.gz  FASTQ   DNA     41,796  334,368        8        8        8   4   8   4        0    8   97.94   94.47
02_Out/E01_T001_S015_R1_ID.fastq.gz  FASTQ   DNA     40,065  320,520        8        8        8   4   8   4        0    8    97.4   92.49
02_Out/E01_T001_S015_R2_ID.fastq.gz  FASTQ   DNA     39,209  313,672        8        8        8   4   8   4        0    8   97.71   93.52
02_Out/E01_T001_S016_R1_ID.fastq.gz  FASTQ   DNA     21,947  175,576        8        8        8   4   8   4        0    8   97.98   94.59
02_Out/E01_T001_S016_R2_ID.fastq.gz  FASTQ   DNA     21,608  172,864        8        8        8   4   8   4        0    8   98.09   94.58
