file                                      format  type  num_seqs     sum_len  min_len  avg_len  max_len   Q1   Q2   Q3  sum_gap  N50  Q20(%)  Q30(%)
05_Out/E01_T001_S001_trimmed_R1.fastq.gz  FASTQ   DNA     35,012   4,279,181      119    122.2      130  121  121  124        0  121   97.66   93.88
05_Out/E01_T001_S001_trimmed_R2.fastq.gz  FASTQ   DNA     35,012   4,134,067      115    118.1      145  118  118  118        0  118   96.91   92.48
05_Out/E01_T001_S002_trimmed_R1.fastq.gz  FASTQ   DNA     52,748   6,475,175      120    122.8      145  121  124  124        0  124   98.26   95.23
05_Out/E01_T001_S002_trimmed_R2.fastq.gz  FASTQ   DNA     52,748   6,224,787       48      118      145  118  118  118        0  118   97.76   94.01
05_Out/E01_T001_S003_trimmed_R1.fastq.gz  FASTQ   DNA     64,196   7,886,953      120    122.9      145  121  124  124        0  124   96.88   92.15
05_Out/E01_T001_S003_trimmed_R2.fastq.gz  FASTQ   DNA     64,196   7,579,253      114    118.1      145  118  118  118        0  118    96.6   91.56
05_Out/E01_T001_S004_trimmed_R1.fastq.gz  FASTQ   DNA     86,044  10,549,583      120    122.6      145  121  124  124        0  124   97.15   92.84
05_Out/E01_T001_S004_trimmed_R2.fastq.gz  FASTQ   DNA     86,044  10,163,919      113    118.1      145  118  118  118        0  118    95.8   90.34
05_Out/E01_T001_S005_trimmed_R1.fastq.gz  FASTQ   DNA     63,899   7,834,299        0    122.6      145  121  124  124        0  124    98.2   95.07
05_Out/E01_T001_S005_trimmed_R2.fastq.gz  FASTQ   DNA     63,899   7,543,767      114    118.1      145  118  118  118        0  118   97.36   93.39
05_Out/E01_T001_S006_trimmed_R1.fastq.gz                       0           0        0        0        0    0    0    0        0    0       0       0
05_Out/E01_T001_S006_trimmed_R2.fastq.gz                       0           0        0        0        0    0    0    0        0    0       0       0
05_Out/E01_T001_S007_trimmed_R1.fastq.gz  FASTQ   DNA     24,464   3,018,343       11    123.4      145  124  124  124        0  124   98.46   95.66
05_Out/E01_T001_S007_trimmed_R2.fastq.gz  FASTQ   DNA     24,464   2,886,860       11      118      145  118  118  118        0  118   97.82   94.25
