file                                 format  type  num_seqs    sum_len  min_len  avg_len  max_len  Q1  Q2  Q3  sum_gap  N50  Q20(%)  Q30(%)
02_Out/E03_T001_S001_R1_ID.fastq.gz  FASTQ   DNA        345      2,760        8        8        8   4   8   4        0    8   98.84   96.67
02_Out/E03_T001_S001_R2_ID.fastq.gz  FASTQ   DNA        342      2,736        8        8        8   4   8   4        0    8    98.9   96.86
02_Out/E03_T001_S002_R1_ID.fastq.gz  FASTQ   DNA     77,012    616,096        8        8        8   4   8   4        0    8   97.96   94.96
02_Out/E03_T001_S002_R2_ID.fastq.gz  FASTQ   DNA     77,449    619,592        8        8        8   4   8   4        0    8   98.34   95.61
02_Out/E03_T001_S003_R1_ID.fastq.gz  FASTQ   DNA     90,595    724,760        8        8        8   4   8   4        0    8   98.65   96.12
02_Out/E03_T001_S003_R2_ID.fastq.gz  FASTQ   DNA     90,606    724,848        8        8        8   4   8   4        0    8   98.45   95.71
02_Out/E03_T001_S004_R1_ID.fastq.gz  FASTQ   DNA    129,474  1,035,792        8        8        8   4   8   4        0    8   98.99   97.12
02_Out/E03_T001_S004_R2_ID.fastq.gz  FASTQ   DNA    127,391  1,019,128        8        8        8   4   8   4        0    8    98.7   96.51
02_Out/E03_T001_S005_R1_ID.fastq.gz  FASTQ   DNA    101,744    813,952        8        8        8   4   8   4        0    8   98.59   96.14
02_Out/E03_T001_S005_R2_ID.fastq.gz  FASTQ   DNA    100,816    806,528        8        8        8   4   8   4        0    8   98.72    96.4
02_Out/E03_T001_S006_R1_ID.fastq.gz                       0          0        0        0        0   0   0   0        0    0       0       0
02_Out/E03_T001_S006_R2_ID.fastq.gz  FASTQ   DNA          1          8        8        8        8   4   8   4        0    8    87.5      75
02_Out/E03_T001_S007_R1_ID.fastq.gz  FASTQ   DNA     42,574    340,592        8        8        8   4   8   4        0    8   97.59   93.76
02_Out/E03_T001_S007_R2_ID.fastq.gz  FASTQ   DNA     41,694    333,552        8        8        8   4   8   4        0    8   98.41   95.53
02_Out/E03_T001_S008_R1_ID.fastq.gz  FASTQ   DNA     13,409    107,272        8        8        8   4   8   4        0    8   98.07   94.88
02_Out/E03_T001_S008_R2_ID.fastq.gz  FASTQ   DNA     13,263    106,104        8        8        8   4   8   4        0    8   97.34   92.44
02_Out/E03_T001_S009_R1_ID.fastq.gz  FASTQ   DNA     58,523    468,184        8        8        8   4   8   4        0    8   97.97   94.98
02_Out/E03_T001_S009_R2_ID.fastq.gz  FASTQ   DNA     58,303    466,424        8        8        8   4   8   4        0    8   98.24   95.11
02_Out/E03_T001_S010_R1_ID.fastq.gz  FASTQ   DNA     37,105    296,840        8        8        8   4   8   4        0    8    98.6   96.17
02_Out/E03_T001_S010_R2_ID.fastq.gz  FASTQ   DNA     36,924    295,392        8        8        8   4   8   4        0    8   98.24   95.38
02_Out/E03_T001_S011_R1_ID.fastq.gz  FASTQ   DNA     20,242    161,936        8        8        8   4   8   4        0    8   98.63   96.36
02_Out/E03_T001_S011_R2_ID.fastq.gz  FASTQ   DNA     20,458    163,664        8        8        8   4   8   4        0    8   98.27    95.4
02_Out/E03_T001_S012_R1_ID.fastq.gz  FASTQ   DNA          2         16        8        8        8   4   8   4        0    8   93.75    87.5
