"","input","filtered","denoised","merged","tabled","tabled2","nonchim","prop(last/first)"
"E01_T001_S001",35012,33723,33718,33638,33638,33634,33617,0.960156517765338
"E01_T001_S002",52748,51508,51500,51381,51381,51375,50338,0.954311063926594
"E01_T001_S003",64196,61310,61281,61097,61097,61085,61056,0.951087295158577
"E01_T001_S004",86044,81147,81125,80883,80883,80869,80810,0.939170656873228
"E01_T001_S005",63899,62043,62032,61932,61932,61909,61873,0.968293713516644
"E01_T001_S007",24464,23876,23868,23825,23825,23820,23818,0.973593852190974
"E01_T001_S008",13168,12715,12715,12709,12709,12709,12708,0.965066828675577
"E01_T001_S009",12574,12183,12182,12174,12174,12174,12174,0.968188325115317
"E01_T001_S010",9630,9281,9280,9265,9265,9265,9265,0.962097611630322
"E01_T001_S011",38947,37012,37008,36931,36931,36923,36921,0.947980589005572
"E01_T001_S012",2519,2436,2434,2428,2428,2428,2428,0.963874553394204
"E01_T001_S013",37283,35929,35922,35597,35597,35592,35369,0.948662929485288
"E01_T001_S014",31560,30224,30217,29930,29930,29929,29814,0.94467680608365
"E01_T001_S015",30292,28925,28910,28717,28717,28711,28566,0.943021259738545
"E01_T001_S016",15890,15061,15056,14843,14843,14841,14750,0.928256765261171
"E01_T001_S017",19268,18720,18715,18598,18598,18593,18591,0.964864023250986
"E01_T001_S018",21,20,20,20,20,20,20,0.952380952380952
"E01_T001_S019",13567,13150,13150,13131,13131,13130,13130,0.967789489201739
"E01_T001_S020",21360,20410,20404,20388,20388,20382,20382,0.954213483146067
"E01_T001_S021",22163,21533,21533,21507,21507,21498,21496,0.969904796282092
"E01_T001_S022",22469,21107,21103,21088,21088,21083,21083,0.938315011794027
"E01_T001_S023",9878,9596,9595,9580,9580,9579,9579,0.969730714719579
"E01_T002_S001",74989,73760,73732,73290,73290,73242,73198,0.976116497086239
"E01_T002_S002",21875,21635,21630,21491,21491,21468,21456,0.980845714285714
"E01_T002_S003",78619,77267,77255,76716,76716,76643,76617,0.974535417647134
"E01_T002_S004",85603,84326,84291,83794,83794,83652,83624,0.976881651343995
"E01_T002_S005",33962,33367,33359,33077,33077,33050,33041,0.972881455744656
"E01_T002_S006",797,789,789,782,782,782,782,0.981179422835634
"E01_T002_S007",14669,14438,14436,14385,14385,14378,14377,0.980094075942464
"E01_T002_S008",48325,47636,47624,47493,47493,47487,47486,0.982638385928608
"E01_T002_S009",14470,14374,14369,14330,14330,14324,14322,0.98977194194886
"E01_T002_S010",31162,30838,30824,30678,30678,30668,30663,0.983986907130479
"E01_T002_S011",15618,15470,15466,15378,15378,15378,15378,0.984633115635805
"E01_T002_S012",3168,3142,3140,3136,3136,3134,3132,0.988636363636364
"E01_T002_S013",16435,16156,16147,16055,16055,16048,16036,0.975722543352601
"E01_T002_S014",15636,15528,15525,15433,15433,15421,15412,0.985674085443847
"E01_T002_S015",29907,29571,29566,29385,29385,29370,29348,0.981308723710168
"E01_T002_S016",55500,54817,54796,54487,54487,54455,54421,0.980558558558559
"E01_T002_S017",19279,19215,19206,19070,19070,19066,19051,0.988173660459567
"E01_T002_S018",5412,5355,5352,5341,5341,5340,5340,0.98669623059867
"E01_T002_S019",39727,39300,39293,39227,39227,39183,39162,0.985777934402296
"E01_T002_S020",56797,56219,56213,56117,56117,56055,56054,0.986918323150871
"E01_T002_S021",21421,21044,21044,20688,20688,20666,20666,0.964754213155315
"E01_T002_S022",51174,50593,50560,50482,50482,50429,50426,0.985383202407473
"E01_T002_S023",69695,68646,68643,68466,68466,68406,67314,0.96583686060693
"E01_T002_S024",5169,5115,5115,5104,5104,5100,5100,0.986651189785258
"E01_T003_S001",32288,31858,31836,28634,28634,28605,28557,0.884446233894945
"E01_T003_S002",38472,38077,38056,34019,34019,33981,33160,0.8619255562487
"E01_T003_S003",52103,51460,51425,45709,45709,45658,45599,0.875170335681247
"E01_T003_S004",60526,59487,59448,54327,54327,53967,53875,0.890113339721772
"E01_T003_S005",47875,47151,47118,41728,41728,41693,41543,0.867738903394256
"E01_T003_S006",19,18,18,10,10,10,10,0.526315789473684
"E01_T003_S007",25363,25048,25022,24150,24150,24142,24104,0.950360761739542
"E01_T003_S008",47550,47006,46967,45010,45010,44992,44967,0.945678233438486
"E01_T003_S009",12946,12785,12778,11886,11886,11884,11786,0.910397033832844
"E01_T003_S010",29101,28422,28388,27247,27247,27055,27038,0.929108965327652
"E01_T003_S011",12041,11885,11873,11180,11180,11180,11174,0.927996013620131
"E01_T003_S012",77,77,77,77,77,75,75,0.974025974025974
"E01_T003_S013",26800,26543,26516,25795,25795,25777,25703,0.959067164179104
"E01_T003_S014",31189,30853,30819,30172,30172,30095,30057,0.963705152457597
"E01_T003_S015",10561,10444,10428,10185,10185,10178,10155,0.961556670769813
"E01_T003_S016",18771,18586,18576,18171,18171,18149,18126,0.965638484896916
"E01_T003_S017",21566,21336,21314,20876,20876,20863,20843,0.966475006955393
"E01_T003_S018",98,96,96,94,94,94,94,0.959183673469388
"E01_T003_S019",27688,27185,27180,27119,27119,27084,27007,0.975404507367813
"E01_T003_S020",22859,22631,22625,22523,22523,22497,22485,0.983638829345116
"E01_T003_S021",15608,15390,15389,15325,15325,15314,15301,0.980330599692465
"E01_T003_S022",19446,19220,19214,18755,18755,18737,18730,0.963180088450067
"E01_T003_S023",12578,12405,12405,12373,12373,12361,12314,0.979010971537605
"E01_T003_S024",986,974,974,950,950,950,946,0.959432048681542
