"","input","filtered","denoised","merged","tabled","tabled2","nonchim","prop(last/first)"
"E03_T001_S001",312,306,306,306,306,305,304,0.974358974358974
"E03_T001_S002",75383,73834,73787,73629,73629,72999,72979,0.968109520714219
"E03_T001_S003",88000,82865,82813,82562,82562,81248,81127,0.921897727272727
"E03_T001_S004",125537,118062,117983,117762,117762,115442,115417,0.919386316384811
"E03_T001_S005",99452,97343,97286,97142,97142,96496,96447,0.969784418614005
"E03_T001_S007",39274,38535,38527,38486,38486,38132,38129,0.970845852217752
"E03_T001_S008",12039,11651,11645,11637,11637,11496,11488,0.954232079076335
"E03_T001_S009",57332,56376,56360,56296,56296,55991,55987,0.97654015209656
"E03_T001_S010",35774,34770,34750,34723,34723,34415,34412,0.961927656957567
"E03_T001_S011",18245,17840,17834,17820,17820,17659,17658,0.967826801863524
"E03_T002_S001",82755,79067,79011,78869,78869,77664,77645,0.938251465168268
"E03_T002_S002",18247,17695,17688,17655,17655,17485,17485,0.958239710637365
"E03_T002_S003",36137,34758,34732,34650,34650,34306,34297,0.94908265766389
"E03_T002_S004",32754,31018,30991,30903,30903,30570,30568,0.93326005984002
"E03_T002_S005",37652,36855,36828,36735,36735,36219,36185,0.961037926272177
"E03_T002_S007",4333,4057,4056,4048,4048,3983,3983,0.919224555735057
"E03_T002_S008",6197,5865,5864,5857,5857,5773,5771,0.931257059867678
"E03_T002_S009",70446,68603,68582,68517,68517,68183,68180,0.967833517871845
"E03_T002_S010",3288,3133,3133,3130,3130,3099,3099,0.942518248175182
"E03_T002_S011",3229,3066,3066,3064,3064,3026,3025,0.936822545679777
"E03_T003_S001",98839,94817,94740,94485,94485,93472,93411,0.945082406742278
"E03_T003_S002",107853,105013,104949,104669,104669,103804,103790,0.96232835433414
"E03_T003_S003",85626,79191,79153,78814,78814,77428,77409,0.904036157241959
"E03_T003_S004",167059,154679,154563,154167,154167,150975,150896,0.903249750088292
"E03_T003_S005",74729,72737,72681,72403,72403,71970,71960,0.962946111951184
"E03_T003_S007",20139,19689,19684,19672,19672,19497,19497,0.96812155519142
"E03_T003_S008",22565,21572,21569,21549,21549,21167,21167,0.93804564591181
"E03_T003_S009",30914,30157,30145,30104,30104,29912,29912,0.967587500808695
"E03_T003_S010",8751,8448,8446,8441,8441,8363,8362,0.955547937378585
"E03_T003_S011",16661,16181,16172,16147,16147,16003,16002,0.960446551827621
