"","OTU002","OTU003","OTU004","OTU005","OTU006","OTU007","OTU008","OTU018","OTU019","OTU020","OTU021","OTU022","OTU023","OTU025","OTU028","OTU029","OTU030","OTU032","OTU033","OTU034","OTU036","OTU037","OTU042","OTU043","OTU044","OTU046","OTU047","OTU049","OTU053","OTU054","OTU055","OTU056","OTU058","OTU059","OTU061","OTU063","OTU064","OTU065","OTU066","OTU067","OTU068","OTU069","OTU071","OTU074","OTU075","OTU076","OTU077","OTU078","OTU079","OTU080","OTU083","OTU084","OTU085","OTU086","OTU088","OTU089","OTU090","OTU091","OTU092","OTU093","OTU094","OTU095","OTU096","OTU097","OTU098","OTU099","OTU100","OTU101","OTU102","OTU103","OTU104","OTU107","OTU108","OTU109","OTU112","OTU113","OTU115","OTU116","OTU117","OTU118","OTU119","OTU122","OTU123","OTU126","OTU129","OTU130","OTU134","OTU135","OTU136"
"E01_T001_S001",19341,0,3,103,0,4503,0,2,0,0,0,0,0,0,0,0,0,0,914,3,0,0,0,0,623,0,1,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,1133,1333,0,0,0,0,0,0,0,0,0,0,579,1378,1,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3315,2,0,0,0,0,0,0
"E01_T001_S002",19019,0,516,125,0,2546,0,0,0,0,0,0,0,0,0,0,1031,0,0,0,0,0,0,0,0,0,0,0,0,1222,0,9597,0,0,0,2476,0,0,179,0,1364,0,1081,4610,0,0,0,613,924,588,0,0,0,0,0,0,0,0,1426,0,0,0,876,1434,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710,0,0,0,0,0,0,0
"E01_T001_S003",23022,0,0,130,0,8516,1019,0,475,463,0,0,0,0,2266,0,0,0,0,0,0,0,0,0,0,0,0,0,1353,0,0,4415,0,0,0,1415,0,0,1903,0,0,0,0,2929,2050,0,0,0,0,0,571,0,0,0,0,0,920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,0,9065,5,0,0,0,0,0,0
"E01_T001_S004",36695,0,0,220,0,10975,0,0,0,905,0,0,0,0,662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6321,0,0,0,12011,0,0,1244,0,0,0,0,2608,572,0,0,0,94,1568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,0,5526,27,0,753,0,506,0,0
"E01_T001_S005",26261,0,0,159,0,8334,0,0,0,0,0,0,0,1264,688,0,0,0,0,0,0,0,0,0,1142,0,0,0,1335,0,0,2884,0,0,0,2614,0,0,911,0,0,0,0,6010,8,0,0,0,0,0,0,0,0,0,0,0,0,957,0,0,0,0,0,0,0,0,0,0,0,1448,0,0,0,0,0,0,0,0,0,1239,0,6196,4,0,0,0,0,0,0
"E01_T001_S006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T001_S007",2225,838,0,14,0,2812,1164,0,0,0,0,0,0,1143,454,0,0,0,0,0,0,0,0,0,716,0,0,0,0,0,0,9,0,0,1,1011,0,0,1193,0,0,0,0,1750,0,0,0,0,0,0,0,1154,0,0,0,0,0,968,600,0,4653,0,975,0,0,0,0,1242,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T001_S008",0,0,0,0,0,0,651,0,0,0,0,0,0,1208,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,660,0,0,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2438,0,2410,0,4,1638,0,0,0,0,0,0,836,0,0,0,0,0,0,0,0,0,1704,608,0,0,0,0,0,1,0
"E01_T001_S009",1356,0,0,7,0,0,0,0,0,0,0,0,0,1389,1277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1424,0,0,0,0,0,0,0,615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1465,1422,628,742,0,1158,691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T001_S010",0,0,0,0,0,0,0,0,0,0,0,0,0,1767,0,0,0,0,0,0,0,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611,0,0,0,0,1091,0,0,0,0,0,0,0,0,0,0,1769,0,1289,0,213,0,0,0,0,0,0,0,0,0,0,0,1611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
