"","OTU002","OTU004","OTU005","OTU006","OTU007","OTU008","OTU018","OTU020","OTU022","OTU023","OTU025","OTU028","OTU029","OTU033","OTU034","OTU036","OTU042","OTU044","OTU053","OTU054","OTU055","OTU056","OTU059","OTU061","OTU063","OTU064","OTU066","OTU068","OTU069","OTU071","OTU074","OTU075","OTU076","OTU078","OTU079","OTU080","OTU083","OTU084","OTU085","OTU086","OTU088","OTU089","OTU090","OTU091","OTU092","OTU093","OTU094","OTU095","OTU096","OTU097","OTU098","OTU101","OTU102","OTU103","OTU104","OTU108","OTU112","OTU115","OTU116","OTU118","OTU119","OTU122","OTU126","OTU129","OTU134","OTU135","OTU136","OTU019","OTU021","OTU032","OTU043","OTU077","OTU107","OTU109","OTU003","OTU030","OTU037","OTU046","OTU047","OTU049","OTU058","OTU065","OTU113","OTU117"
"E01_T001_S001",11930,0,66,0,2778,0,0,0,0,0,0,0,0,554,0,0,0,386,0,0,0,0,0,0,178,0,0,0,0,0,0,696,801,0,0,0,0,0,0,0,0,0,364,850,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,2081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T001_S002",8086,213,52,0,1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,0,3971,0,0,1030,0,76,573,0,463,1913,0,0,261,389,251,0,0,0,0,0,0,0,0,585,0,0,0,368,607,0,0,0,0,0,0,0,0,0,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T001_S003",7920,0,41,0,2885,333,0,156,0,0,0,801,0,0,0,0,0,0,457,0,0,1475,0,0,468,0,657,0,0,0,1000,735,0,0,0,0,213,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,3110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T001_S004",9354,0,48,0,2834,0,0,233,0,0,0,160,0,0,0,0,0,0,0,0,0,1709,0,0,3080,0,321,0,0,0,666,147,0,0,24,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,1428,0,205,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T001_S005",8783,0,54,0,2765,0,0,0,0,0,405,239,0,0,0,0,0,366,454,0,0,1013,0,0,913,0,312,0,0,0,2054,0,0,0,0,0,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,0,468,0,0,0,0,0,441,0,2141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T002_S001",7843,0,53,0,2795,0,0,16,0,0,0,0,0,0,0,0,206,0,0,0,0,2282,378,0,1075,0,419,0,0,0,1410,0,0,91,173,0,0,0,0,0,0,0,0,1039,0,284,0,0,0,0,0,0,0,694,0,0,0,0,0,239,0,1753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T002_S002",8022,0,65,247,3130,0,0,0,0,0,0,878,0,0,0,0,200,0,0,0,0,1831,0,0,814,0,735,0,0,0,1380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463,0,0,0,256,276,29,0,2341,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T002_S003",9626,0,285,0,3014,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,4,0,0,1597,0,1142,0,0,0,1397,270,0,0,0,520,0,0,0,0,0,0,0,0,0,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1665,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T002_S004",8062,0,66,0,3711,0,5,0,0,0,0,0,0,0,0,0,235,0,251,0,301,1219,0,0,2408,0,476,0,0,0,1781,0,0,0,0,256,0,0,0,0,0,0,0,922,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,632,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T002_S005",8146,0,50,0,5047,0,0,0,0,0,0,765,0,0,0,0,0,557,0,0,0,986,161,0,626,0,410,0,557,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T003_S001",9897,0,187,0,4848,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0,0,1285,0,0,1767,0,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,554,0,891,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T003_S002",6584,0,151,0,3816,0,0,172,0,0,0,313,0,0,0,0,258,0,0,0,0,3139,0,0,3615,0,1001,0,0,0,929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
