"","OTU002","OTU003","OTU005","OTU006","OTU007","OTU008","OTU019","OTU020","OTU025","OTU026","OTU027","OTU028","OTU042","OTU044","OTU046","OTU049","OTU053","OTU055","OTU056","OTU058","OTU059","OTU063","OTU066","OTU068","OTU071","OTU074","OTU075","OTU076","OTU079","OTU080","OTU083","OTU090","OTU091","OTU093","OTU100","OTU103","OTU104","OTU112","OTU116","OTU118","OTU120","OTU122","OTU134"
"E02_T001_S001",0.552644296299968,0,0.00122053976357463,0,0.166631558077867,0,0,0.000284999132611336,0,0,0,0.00802334514634086,0,0,0,0,0,0,0.0133887635994151,0,0,0.0563368937572799,0.027756437263017,0,0.0305011028227305,0.0708160888205992,0,0,0,0,0.0116168124705707,0,0,0.0233885157740824,0,0,0.0173787514559738,0,0,0,0,0.0200118956159699,0
"E02_T001_S002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T001_S003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T001_S004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T001_S005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T001_S006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T001_S007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T001_S008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T001_S009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T002_S001",0.485415075234052,0,0.000977065605514203,0,0.199703327352508,0,0,0,0,0,0,0,0,0,0,0,0.0241246380416052,0,0.111900659075163,0,0,0.0646106837682756,0.0158373452239257,0,0,0.0653745714234958,0,0,0.00470767973565934,0,0,0,0,0,0,0,0,0,0.00898012115613508,0,0,0.018368833383667,0
"E02_T002_S002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77648291911673e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T002_S003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T002_S004",1.77648291911673e-05,0,0,0,8.88241459558366e-06,0,0,0,0,0,0,0,0,0,0,2.6647243786751e-05,0,0,8.88241459558366e-06,0,0,0,0,0,0,8.88241459558366e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T002_S005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00443232488319625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T002_S006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T002_S007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T002_S008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T002_S009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T003_S001",0.406931393567058,0,0.00110569521920141,0,0.231424498081921,0,0,0,3.55529009389521e-06,0,0,0.00535071159131229,0,0,0,0,0.000145766893849704,0,0.052724952092466,0,0,0.138830522876514,0.052351646632607,0,0.0194687685541702,0.0176591258963775,0,0,0,0.0253812159803179,0,0,0,0,0,0,0,0.00617553889309598,0,0.000401747780610159,0,0.0298999896896587,0.012144870960746
"E02_T003_S002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T003_S003",3.55529009389521e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.11058018779042e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.55529009389521e-06,0
"E02_T003_S004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T003_S005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T003_S006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T003_S007",7.11058018779042e-06,0,0,0,7.11058018779042e-06,0,0,0,0,0,0,0,0,0,0,5.33293514084282e-05,0,0,0,0,0,0,3.55529009389521e-06,0,0,3.55529009389521e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T003_S008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T003_S009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00248514777563275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T004_S001",0.291653181288849,0,0.000701743772780206,0,0.231569395502185,0,0,0.0104656614388772,0.0203384703800608,0,0,0.00931927829282679,0,0,0,0,0.0161128839551731,0,0.137402640613421,0,0,0.0543458205411291,0.0117451339211446,0,0,0.129051284765808,0,0,0,0.00762843877134345,0,0.0322832383055308,0,0,0,0,0,0,0,0,0,0.0192132605374994,0.0281695679133709
"E02_T004_S002",9.67922445214077e-05,0,0,0,4.53713646194099e-05,0,0,3.02475764129399e-06,3.02475764129399e-06,0,0,0,0,0,0,0,9.07427292388197e-06,0,3.62970916955279e-05,0,0,9.07427292388197e-06,0,0,0,4.83961222607039e-05,0,0,0,3.02475764129399e-06,0,9.07427292388197e-06,0,0,0,0,0,0,0,0,0,1.2099030565176e-05,9.07427292388197e-06
"E02_T004_S003",6.95694257497618e-05,0,0,0,6.04951528258798e-05,0,0,0,3.02475764129399e-06,0,0,3.02475764129399e-06,0,0,0,0,3.02475764129399e-06,0,2.72228187716459e-05,0,0,2.72228187716459e-05,0,0,0,3.32723340542339e-05,0,0,0,6.04951528258798e-06,0,2.11733034890579e-05,0,0,0,0,0,0,0,0,0,3.02475764129399e-06,1.81485458477639e-05
"E02_T004_S004",0.000263153914792577,0,3.02475764129399e-06,0,0.000193584489042815,0,0,1.81485458477639e-05,2.72228187716459e-05,0,0,6.04951528258798e-06,0,0,0,0,6.04951528258798e-06,0,0.000130064578575642,0,0,5.44456375432918e-05,1.512378820647e-05,0,0,0.000142163609140818,0,0,0,6.04951528258798e-06,0,1.2099030565176e-05,0,0,0,0,0,0,0,0,0,1.2099030565176e-05,2.41980611303519e-05
"E02_T004_S005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T004_S006",0,0,0,0,3.02475764129399e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T004_S007",0.000278277702999047,0,0,0,0.000145188366782112,0,0,3.02475764129399e-06,2.41980611303519e-05,0,0,1.2099030565176e-05,0,0,0,0,3.02475764129399e-05,0,0.000114940790369172,0,0,5.14208799019979e-05,1.2099030565176e-05,0,0,0.000111916032727878,0,0,0,3.02475764129399e-06,0,1.512378820647e-05,0,0,0,0,0,0,0,0,0,2.41980611303519e-05,3.02475764129399e-05
"E02_T004_S008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T004_S009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E02_T005_S001",0.355346971790637,0,0.00081561120285801,0,0.147332412119578,0,0.00964241178254862,0,0.00489366721714806,0.0092143844157595,0,0.00541943311651107,0,0,0,0,0.0309932257086044,0,0.0902025546830238,0,0,0.138664015368542,0.021809173940885,0,0,0.0299147315560648,0,0,0.0185770617774932,0.0363924370597553,0,0.0229517036837316,4.71841191736039e-05,0,0.0144080078190826,0,0,0,0,0.000188736476694415,0,0.0631862761619089,0
