"","OTU002","OTU004","OTU005","OTU006","OTU007","OTU008","OTU018","OTU020","OTU022","OTU023","OTU025","OTU028","OTU033","OTU034","OTU036","OTU042","OTU044","OTU053","OTU054","OTU055","OTU056","OTU059","OTU061","OTU063","OTU064","OTU066","OTU068","OTU069","OTU071","OTU074","OTU075","OTU076","OTU078","OTU079","OTU080","OTU083","OTU084","OTU085","OTU086","OTU088","OTU089","OTU090","OTU091","OTU092","OTU093","OTU094","OTU095","OTU096","OTU097","OTU098","OTU101","OTU102","OTU103","OTU104","OTU108","OTU112","OTU115","OTU116","OTU118","OTU119","OTU122","OTU126","OTU129","OTU130","OTU134","OTU135","OTU136","OTU026","OTU027","OTU120","OTU035","OTU038","OTU041","OTU057","OTU060","OTU062","OTU067","OTU070","OTU072","OTU073","OTU081","OTU082","OTU087","OTU105","OTU106","OTU110","OTU111","OTU121","OTU124","OTU125","OTU127","OTU128"
"E01_T001_S001",4545,0,30,0,1033,0,1,0,0,0,0,0,194,1,0,0,165,0,0,0,0,0,0,79,0,0,0,0,0,0,282,316,0,0,0,0,0,0,0,0,0,136,301,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T001_S002",3099,89,20,0,398,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,1548,0,0,402,0,27,234,0,165,709,0,0,74,140,99,0,0,0,0,0,0,0,0,249,0,0,0,130,238,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T001_S003",3018,0,14,0,1133,134,0,58,0,0,0,271,0,0,0,0,0,200,0,0,567,0,0,183,0,257,0,0,0,380,243,0,0,0,0,67,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T001_S004",3563,0,18,0,1071,0,0,93,0,0,0,70,0,0,0,0,0,0,0,0,630,0,0,1207,0,131,0,0,0,280,49,0,0,5,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,536,0,67,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T001_S005",3356,0,18,0,1106,0,0,0,0,0,171,93,0,0,0,0,129,180,0,0,362,0,0,356,0,105,0,0,0,823,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,164,0,775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T002_S001",3005,0,22,0,1103,0,0,6,0,0,0,0,0,0,0,80,0,0,0,0,882,151,0,380,0,149,0,0,0,490,0,0,40,72,0,0,0,0,0,0,0,0,413,0,108,0,0,0,0,0,0,0,277,0,0,0,0,0,102,0,648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T002_S002",2959,0,20,92,1391,0,0,0,0,0,0,327,0,0,0,68,0,0,0,0,711,0,0,307,0,270,0,0,0,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,95,103,9,0,846,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T002_S003",3663,0,107,0,1224,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,1,0,0,631,0,429,0,0,0,505,104,0,0,0,205,0,1,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,621,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T002_S004",3000,0,23,0,1503,0,3,0,0,0,0,0,0,0,0,105,0,86,0,124,466,0,0,926,0,183,0,0,0,645,0,0,0,0,106,0,0,0,0,0,0,0,382,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,224,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01_T002_S005",3019,2,24,0,2073,0,0,0,0,0,0,273,0,0,0,0,199,0,0,0,386,57,0,243,0,149,0,208,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
