temp,value,site,replicate
59.69,0.112920186,River_Seta,R01
59.98165354,0.112920186,River_Seta,R01
60.27330709,0.131141065,River_Seta,R01
60.56496063,0.177014031,River_Seta,R01
60.85661417,0.238630057,River_Seta,R01
61.14826772,0.297061878,River_Seta,R01
61.43992126,0.337484144,River_Seta,R01
61.7315748,0.35882907,River_Seta,R01
62.02322835,0.366040734,River_Seta,R01
62.31488189,0.366981595,River_Seta,R01
62.60653543,0.370073251,River_Seta,R01
62.89818898,0.37228429,River_Seta,R01
63.18984252,0.36669669,River_Seta,R01
63.48149606,0.356140124,River_Seta,R01
63.77314961,0.346721187,River_Seta,R01
64.06480315,0.341710951,River_Seta,R01
64.35645669,0.340584573,River_Seta,R01
64.64811024,0.34288264,River_Seta,R01
64.93976378,0.346474488,River_Seta,R01
65.23141732,0.344868145,River_Seta,R01
65.52307087,0.339016229,River_Seta,R01
65.81472441,0.336732562,River_Seta,R01
66.10637795,0.339696419,River_Seta,R01
66.3980315,0.344142868,River_Seta,R01
66.68968504,0.348517482,River_Seta,R01
66.98133858,0.355077578,River_Seta,R01
67.27299213,0.364675761,River_Seta,R01
67.56464567,0.375853527,River_Seta,R01
67.85629921,0.390115865,River_Seta,R01
68.14795276,0.40901102,River_Seta,R01
68.4396063,0.429522912,River_Seta,R01
68.73125984,0.447309569,River_Seta,R01
69.02291339,0.462445211,River_Seta,R01
69.31456693,0.480075176,River_Seta,R01
69.60622047,0.502857006,River_Seta,R01
69.89787402,0.526249152,River_Seta,R01
70.18952756,0.547820605,River_Seta,R01
70.4811811,0.568569976,River_Seta,R01
70.77283465,0.587905195,River_Seta,R01
71.06448819,0.604617679,River_Seta,R01
71.35614173,0.62224499,River_Seta,R01
71.64779528,0.645905119,River_Seta,R01
71.93944882,0.673192016,River_Seta,R01
72.23110236,0.701221972,River_Seta,R01
72.52275591,0.728589727,River_Seta,R01
72.81440945,0.75026735,River_Seta,R01
73.10606299,0.76365244,River_Seta,R01
73.39771654,0.772376505,River_Seta,R01
73.68937008,0.780317829,River_Seta,R01
73.98102362,0.786240978,River_Seta,R01
74.27267717,0.790296421,River_Seta,R01
74.56433071,0.79708406,River_Seta,R01
74.85598425,0.805660636,River_Seta,R01
75.1476378,0.809651988,River_Seta,R01
75.43929134,0.80694262,River_Seta,R01
75.73094488,0.801401247,River_Seta,R01
76.02259843,0.799123612,River_Seta,R01
76.31425197,0.799343817,River_Seta,R01
76.60590551,0.798735196,River_Seta,R01
76.89755906,0.800191926,River_Seta,R01
77.1892126,0.806190152,River_Seta,R01
77.48086614,0.817845396,River_Seta,R01
77.77251969,0.833626445,River_Seta,R01
78.06417323,0.848770654,River_Seta,R01
78.35582677,0.862470458,River_Seta,R01
78.64748031,0.877190993,River_Seta,R01
78.93913386,0.896100694,River_Seta,R01
79.2307874,0.920541941,River_Seta,R01
79.52244094,0.948018898,River_Seta,R01
79.81409449,0.976913832,River_Seta,R01
80.10574803,1.009298193,River_Seta,R01
80.39740157,1.054522399,River_Seta,R01
80.68905512,1.1344281,River_Seta,R01
80.98070866,1.286915395,River_Seta,R01
81.2723622,1.555030163,River_Seta,R01
81.56401575,1.973300039,River_Seta,R01
81.85566929,2.561137263,River_Seta,R01
82.14732283,3.309230806,River_Seta,R01
82.43897638,4.141652272,River_Seta,R01
82.73062992,4.879416937,River_Seta,R01
83.02228346,5.274697808,River_Seta,R01
83.31393701,5.112729744,River_Seta,R01
83.60559055,4.364673278,River_Seta,R01
83.89724409,3.264965146,River_Seta,R01
84.18889764,2.146738376,River_Seta,R01
84.48055118,1.24195805,River_Seta,R01
84.77220472,0.63342608,River_Seta,R01
85.06385827,0.29413515,River_Seta,R01
85.35551181,0.14808694,River_Seta,R01
85.64716535,0.111029507,River_Seta,R01
85.9388189,0.11976463,River_Seta,R01
86.23047244,0.139990232,River_Seta,R01
86.52212598,0.156293086,River_Seta,R01
86.81377953,0.16436657,River_Seta,R01
87.10543307,0.164061996,River_Seta,R01
87.39708661,0.156690338,River_Seta,R01
87.68874016,0.145286862,River_Seta,R01
87.9803937,0.131937951,River_Seta,R01
88.27204724,0.118681247,River_Seta,R01
88.56370079,0.108216261,River_Seta,R01
88.85535433,0.10130505,River_Seta,R01
89.14700787,0.097359959,River_Seta,R01
89.43866142,0.095462804,River_Seta,R01
89.73031496,0.093945729,River_Seta,R01
90.0219685,0.091785852,River_Seta,R01
90.31362205,0.088834525,River_Seta,R01
90.60527559,0.084250342,River_Seta,R01
90.89692913,0.077325609,River_Seta,R01
91.18858268,0.069458815,River_Seta,R01
91.48023622,0.062441791,River_Seta,R01
91.77188976,0.056422434,River_Seta,R01
92.06354331,0.050459927,River_Seta,R01
92.35519685,0.044358737,River_Seta,R01
92.64685039,0.03885806,River_Seta,R01
92.93850394,0.034278115,River_Seta,R01
93.23015748,0.030013352,River_Seta,R01
93.52181102,0.025454164,River_Seta,R01
93.81346457,0.020987892,River_Seta,R01
94.10511811,0.017386661,River_Seta,R01
94.39677165,0.015420374,River_Seta,R01
94.6884252,0.015140849,River_Seta,R01
94.98007874,0.014566091,River_Seta,R01
95.27173228,0.012624208,River_Seta,R01
95.56338583,0.011531853,River_Seta,R01
95.85503937,0.0128896,River_Seta,R01
96.14669291,0.015241456,River_Seta,R01
96.43834646,0.016356837,River_Seta,R01
96.73,0.016356837,River_Seta,R01
59.69,0.084948839,River_Seta,R02
59.98165354,0.084948839,River_Seta,R02
60.27330709,0.105605688,River_Seta,R02
60.56496063,0.15166509,River_Seta,R02
60.85661417,0.204026641,River_Seta,R02
61.14826772,0.247965775,River_Seta,R02
61.43992126,0.276537493,River_Seta,R02
61.7315748,0.289894003,River_Seta,R02
62.02322835,0.296635633,River_Seta,R02
62.31488189,0.303233985,River_Seta,R02
62.60653543,0.305091274,River_Seta,R02
62.89818898,0.297247529,River_Seta,R02
63.18984252,0.283148817,River_Seta,R02
63.48149606,0.270738025,River_Seta,R02
63.77314961,0.262744664,River_Seta,R02
64.06480315,0.257858788,River_Seta,R02
64.35645669,0.255563432,River_Seta,R02
64.64811024,0.255654202,River_Seta,R02
64.93976378,0.258518471,River_Seta,R02
65.23141732,0.263216855,River_Seta,R02
65.52307087,0.268648308,River_Seta,R02
65.81472441,0.276140529,River_Seta,R02
66.10637795,0.287987385,River_Seta,R02
66.3980315,0.304249592,River_Seta,R02
66.68968504,0.321575344,River_Seta,R02
66.98133858,0.338931489,River_Seta,R02
