BioProject,BioProject Submission,DRA Submission,BioSample,BioSample Submission,Sample Name,Experiment,Experiment alias,Experiment Title,Library Source,Library Strategy,Library Name,Library Layout,Run,Run Alias,Run Title,Run Files
PRJDB7110,PSUB008792,DRA013399,SAMD00441097,SSUB020546,Sea_Nagahama,DRX333606,ushio-0017_Experiment_0072,iSeq 100 paired end sequencing of E02_T001_S001,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T001_S001,PAIRED,DRR344658,ushio-0017_Run_0072,iSeq 100 paired end sequencing of E02_T001_S001,"E02_T001_S001_trimmed_R1.fastq.gz,E02_T001_S001_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441097,SSUB020546,Sea_Nagahama,DRX333607,ushio-0017_Experiment_0073,iSeq 100 paired end sequencing of E02_T002_S001,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T002_S001,PAIRED,DRR344659,ushio-0017_Run_0073,iSeq 100 paired end sequencing of E02_T002_S001,"E02_T002_S001_trimmed_R1.fastq.gz,E02_T002_S001_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333608,ushio-0017_Experiment_0074,iSeq 100 paired end sequencing of E02_T002_S002,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T002_S002,PAIRED,DRR344660,ushio-0017_Run_0074,iSeq 100 paired end sequencing of E02_T002_S002,"E02_T002_S002_trimmed_R1.fastq.gz,E02_T002_S002_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333609,ushio-0017_Experiment_0075,iSeq 100 paired end sequencing of E02_T002_S004,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T002_S004,PAIRED,DRR344661,ushio-0017_Run_0075,iSeq 100 paired end sequencing of E02_T002_S004,"E02_T002_S004_trimmed_R1.fastq.gz,E02_T002_S004_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333610,ushio-0017_Experiment_0076,iSeq 100 paired end sequencing of E02_T002_S005,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T002_S005,PAIRED,DRR344662,ushio-0017_Run_0076,iSeq 100 paired end sequencing of E02_T002_S005,"E02_T002_S005_trimmed_R1.fastq.gz,E02_T002_S005_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441097,SSUB020546,Sea_Nagahama,DRX333611,ushio-0017_Experiment_0077,iSeq 100 paired end sequencing of E02_T003_S001,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T003_S001,PAIRED,DRR344663,ushio-0017_Run_0077,iSeq 100 paired end sequencing of E02_T003_S001,"E02_T003_S001_trimmed_R1.fastq.gz,E02_T003_S001_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333612,ushio-0017_Experiment_0078,iSeq 100 paired end sequencing of E02_T003_S003,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T003_S003,PAIRED,DRR344664,ushio-0017_Run_0078,iSeq 100 paired end sequencing of E02_T003_S003,"E02_T003_S003_trimmed_R1.fastq.gz,E02_T003_S003_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333613,ushio-0017_Experiment_0079,iSeq 100 paired end sequencing of E02_T003_S007,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T003_S007,PAIRED,DRR344665,ushio-0017_Run_0079,iSeq 100 paired end sequencing of E02_T003_S007,"E02_T003_S007_trimmed_R1.fastq.gz,E02_T003_S007_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441136,SSUB020550,Negative control water,DRX333614,ushio-0017_Experiment_0080,iSeq 100 paired end sequencing of E02_T003_S009,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T003_S009,PAIRED,DRR344666,ushio-0017_Run_0080,iSeq 100 paired end sequencing of E02_T003_S009,"E02_T003_S009_trimmed_R1.fastq.gz,E02_T003_S009_trimmed_R2.fastq.gz"
PRJDB7110,PSUB008792,DRA013399,SAMD00441097,SSUB020546,Sea_Nagahama,DRX333615,ushio-0017_Experiment_0081,iSeq 100 paired end sequencing of E02_T004_S001,METAGENOMIC,AMPLICON,MiFish12S_eDNA-seq_E02_T004_S001,PAIRED,DRR344667,ushio-0017_Run_0081,iSeq 100 paired end sequencing of E02_T004_S001,"E02_T004_S001_trimmed_R1.fastq.gz,E02_T004_S001_trimmed_R2.fastq.gz"
